title; artist; popularity
Every Rose Has Its Thorn - 2003 Remaster; Poison; 50
Nothin' But A Good Time - Remastered 2006; Poison; 64
Tainted Love; Soft Cell; 87
Don't You (Forget About Me); Simple Minds; 62
Alive And Kicking; Simple Minds; 84
Karma Chameleon - Remastered 2002; Culture Club; 92
I Ran (So Far Away); A Flock Of Seagulls; 42
Blue Monday; New Order; 82
Bizarre Love Triangle - 2024 Digital Master; New Order; 57
Just Can't Get Enough; Depeche Mode; 72
People Are People; Depeche Mode; 75
Personal Jesus - Single Version; Depeche Mode; 29
Never Let Me Down Again; Depeche Mode; 64
Relax (Come Fighting); Frankie Goes To Hollywood; 83
The Power Of Love; Frankie Goes To Hollywood; 80
Come On Eileen; Dexys Midnight Runners; 86
It's a Sin - 2018 Remaster; Pet Shop Boys; 52
West End Girls - 2018 Remaster; Pet Shop Boys; 52
Always on My Mind; Pet Shop Boys; 77
Don't You Want Me - Purple Disco Machine Remix; The Human League; 36
Together In Electric Dreams - Remastered 2003 / From Electric Dreams Original Motion Picture Soundtrack; Phil Oakey; 77
Enola Gay - Remastered 2003; Orchestral Manoeuvres In The Dark; 82
If You Leave; Orchestral Manoeuvres In The Dark; 79
True - 2003 Remaster; Spandau Ballet; 53
Gold; Spandau Ballet; 83
Hungry Like the Wolf - 2009 Remaster; Duran Duran; 48
Rio - 2009 Remaster; Duran Duran; 25
The Reflex - Single Version 2010 Remaster; Duran Duran; 46
Save a Prayer - 2009 Remaster; Duran Duran; 51
A View to a Kill; Duran Duran; 78
We Built This City; Starship; 87
Nothing's Gonna Stop Us Now; Starship; 77
Sara; Starship; 81
Out of Touch; Daryl Hall & John Oates; 65
I Can't Go for That (No Can Do); Daryl Hall & John Oates; 64
Private Eyes; Daryl Hall & John Oates; 63
The Tide Is High - Edit; Blondie; 45
Rapture; Blondie; 82
Love Shack; The B-52's; 85
Roam; The B-52's; 59
Walk Like an Egyptian; The Bangles; 88
Manic Monday; The Bangles; 85
Eternal Flame; The Bangles; 68
Heaven Is a Place on Earth - Promo 7 Edit; Belinda Carlisle; 50
I Think We're Alone Now; Tiffany; 72
Never Gonna Give You Up; Rick Astley; 97
Together Forever; Rick Astley; 84
Straight Up; Paula Abdul; 82
Opposites Attract; Paula Abdul; 70
All Night Long (All Night) - Single Version; Lionel Richie; 52
Hello; Lionel Richie; 88
Dancing On The Ceiling; Lionel Richie; 77
Say You, Say Me; Lionel Richie; 79
Upside Down; Diana Ross; 72
I'm Coming Out; Diana Ross; 71
Let's Groove; Earth, Wind & Fire; 67
Celebration; Kool & The Gang; 89
Get Down On It; Kool & The Gang; 86
Fresh; Kool & The Gang; 85
Give It Up; KC & The Sunshine Band; 72
Super Freak; Rick James; 87
It Takes Two; Rob Base & DJ EZ Rock; 49
Push It; Salt-N-Pepa; 87
Fight For Your Right; Beastie Boys; 85
